AlphaL,AlphaH,AlphaAvg,AlphaN,BetaL,BetaH,BetaAvg,BetaN
2.638849,4.743201,3.691025,0.448504167,2.872663,2.796035,2.834349,0.45858725
3.632192,2.507456,3.069824,0.344970667,1.829277,2.868818,2.3490475,0.337261875
1.096045,1.317057,1.206551,0.034425167,1.550285,2.36943,1.9598575,0.239964375
1.569525,1.785765,1.677645,0.112940833,1.042417,1.609709,1.326063,0.08151575
2.430079,2.486414,2.4582465,0.243041083,5.649352,3.074447,4.3618995,0.840474875
2.257658,1.748108,2.002883,0.167147167,1.803604,2.405473,2.1045385,0.276134625
1.921139,1.848441,1.88479,0.147465,1.569233,2.651065,2.110149,0.27753725
2.029233,1.431307,1.73027,0.121711667,1.309774,2.506225,1.9079995,0.226999875
2.255413,2.973922,2.6146675,0.26911125,1.674589,2.251228,1.9629085,0.240727125
1.435329,1.291099,1.363214,0.060535667,1.721031,2.455008,2.0880195,0.272004875
2.558465,2.806662,2.6825635,0.28042725,1.510657,2.738093,2.124375,0.28109375
2.372281,2.386903,2.379592,0.229932,1.684322,4.193278,2.9388,0.4847
1.367218,1.287095,1.3271565,0.054526083,1.283918,1.764521,1.5242195,0.131054875
4.720733,1.515607,3.11817,0.353028333,1.43946,1.506721,1.4730905,0.118272625
1.779139,2.082875,1.931007,0.155167833,1.58653,1.621048,1.603789,0.15094725
2.230568,1.515879,1.8732235,0.14553725,1.672837,1.836014,1.7544255,0.188606375
2.269083,1.710696,1.9898895,0.164981583,1.601647,1.902407,1.752027,0.18800675
1.276351,1.417084,1.3467175,0.05778625,1.980962,2.235561,2.1082615,0.277065375
1.441342,1.25247,1.346906,0.057817667,1.369159,1.801382,1.5852705,0.146317625
1.525257,1.335256,1.4302565,0.071709417,1.468371,1.995248,1.7318095,0.182952375
1.133654,1.406548,1.270101,0.045016833,2.512429,1.652659,2.082544,0.270636
1.683512,1.633653,1.6585825,0.10976375,1.414418,1.525733,1.4700755,0.117518875
1.75196,1.093299,1.4226295,0.07043825,2.833343,1.415784,2.1245635,0.281140875
1.469472,1.140615,1.3050435,0.050840583,1.753299,1.136527,1.444913,0.11122825
1.237577,1.132522,1.1850495,0.030841583,1.125326,1.866748,1.496037,0.12400925
1.186425,1.339459,1.262942,0.043823667,1.285462,1.427449,1.3564555,0.089113875
10.81536,1.941139,6.3782495,0.896374917,1.237462,1.350394,1.293928,0.073482
2.152105,1.794248,1.9731765,0.162196083,1.319586,1.898524,1.609055,0.15226375
